"tBodyAcc-correlation()-X,Y",tGravityAcc-mean()-X,tGravityAcc-max()-Y,tGravityAcc-max()-Z,tGravityAcc-min()-X,tGravityAcc-min()-Y,tGravityAcc-min()-Z,tGravityAcc-energy()-Y,"tGravityAcc-arCoeff()-X,3","tGravityAcc-arCoeff()-Y,3","tGravityAcc-arCoeff()-Z,2","tGravityAcc-arCoeff()-Z,4",tBodyGyro-max()-X,tBodyGyro-min()-X,"tBodyGyro-correlation()-Y,Z",tBodyAccMag-arCoeff()1,"fBodyAcc-bandsEnergy()-1,8","fBodyAccJerk-bandsEnergy()-1,24",fBodyGyro-maxInds-X,fBodyGyro-maxInds-Z,fBodyAccMag-std(),fBodyAccMag-energy(),"angle(Y,gravityMean)"
0.37631389,0.96339614,-0.16126549,0.12465977,0.97743631,-0.12321341,0.056482734,-0.97090521,-0.59177346,-0.71237239,0.99567491,0.99165268,-0.86704374,0.84730796,0.30109948,-0.17317874,-0.99996279,-0.99998083,-1.0,-1.0,-0.95613397,-0.9982852,0.17994061
-0.013428663,0.96656113,-0.16134256,0.12258573,0.98452014,-0.11489334,0.10276411,-0.97058275,-0.41756716,-0.10556772,0.8342711,0.8304639,-0.86490382,0.83372106,0.1693948,0.081568632,-0.99999619,-0.99997443,-1.0,-1.0,-0.97586576,-0.99947194,0.18028889
-0.12469839,0.9668781,-0.16371122,0.094565843,0.9867701,-0.11489334,0.10276411,-0.97036812,-0.056728165,-0.25449019,0.714392,0.72875542,-0.86490382,0.83372106,-0.35064613,0.038049101,-0.99998945,-0.99990853,-1.0,-1.0,-0.98901548,-0.99980673,0.18063731
-0.30569299,0.96761519,-0.16371122,0.093424674,0.98682105,-0.12133575,0.095752648,-0.96939971,-0.085822962,-0.20628122,0.38637272,0.38526306,-0.88532038,0.83416396,-0.72530106,-0.092855878,-0.9999886,-0.99992682,-1.0,-0.79310345,-0.98674196,-0.99977021,0.18193476
-0.15580432,0.9682244,-0.1667862,0.091682389,0.98743352,-0.12183357,0.094059354,-0.96705115,-0.2806651,-0.066326701,0.23926797,0.24056851,-0.87015408,0.83909061,-0.72455753,0.18044105,-0.99999401,-0.99997483,-1.0,-1.0,-0.99006346,-0.9998731,0.18515116
-0.20997915,0.9679482,-0.16697042,0.083347121,0.98772183,-0.12183357,0.094059354,-0.9673206,-0.45722246,-0.10755395,0.17537477,0.20796474,-0.87015408,0.83980804,-0.74597924,0.37033862,-0.99999034,-0.99996739,-0.93333333,-0.93103448,-0.9952833,-0.99993904,0.18482251
-0.095852111,0.9679295,-0.16557052,0.085205725,0.98772183,-0.12009236,0.094085133,-0.96926606,-0.50287889,-0.36216875,0.13769216,0.15347557,-0.88084649,0.83923216,-0.68768073,0.15592,-0.99999107,-0.99996444,-1.0,-1.0,-0.98477295,-0.99967648,0.18216997
-0.16163423,0.96849148,-0.16557052,0.085205725,0.98792586,-0.12855866,0.085898255,-0.96803308,-0.41156951,-0.40506317,0.13917263,0.12964878,-0.87891649,0.83923216,-0.73265004,0.049663704,-0.99998527,-0.99996325,-0.86666667,-1.0,-0.9751195,-0.99946993,0.18377851
-0.16479067,0.96848115,-0.1678811,0.084473659,0.98775397,-0.1297641,0.083207756,-0.96412344,-0.29541259,-0.23988118,0.50364318,0.49676454,-0.87891649,0.84240348,-0.44248085,0.38267396,-0.99998535,-0.99997776,-1.0,-0.79310345,-0.9766829,-0.99952032,0.18898248
-0.17624116,0.96841804,-0.17596367,0.073488197,0.98775397,-0.1297641,0.083047547,-0.96313738,-0.39175904,-0.31072118,0.48421297,0.51492917,-0.87157112,0.83673943,-0.44692136,0.43069465,-0.99998294,-0.99993563,-0.53333333,-0.79310345,-0.98902313,-0.99977682,0.19031033
0.0085036618,0.96920266,-0.17248553,0.073598516,0.98782618,-0.12692295,0.083047547,-0.96520249,-0.42220843,-0.23875074,0.21862019,0.32024321,-0.87157112,0.83673943,-0.4784977,0.3731128,-0.9999788,-0.99994225,-1.0,-0.72413793,-0.98718871,-0.99975779,0.18760932
-0.26723866,0.96925328,-0.17248553,0.074662215,0.98861347,-0.12340878,0.083129108,-0.96639363,-0.38122979,-0.43185991,-0.0013303972,0.037008721,-0.88564296,0.84187441,-0.36969406,0.41585726,-0.99999005,-0.99998747,-0.8,-0.5862069,-0.99671395,-0.99995274,0.18605036
-0.035235838,0.9689963,-0.1726059,0.074662215,0.98861347,-0.12646746,0.083771745,-0.96520364,-0.26446874,-0.33209989,0.011595614,0.046128667,-0.88615917,0.84358903,-0.72780909,0.47983276,-0.99999322,-0.99999427,-1.0,-1.0,-0.99678792,-0.99995908,0.18761054
0.043618841,0.96904398,-0.17551413,0.0740879,0.98889992,-0.12646746,0.083557737,-0.96428473,-0.21004093,-0.23638524,0.13306446,0.1858735,-0.88615917,0.84623834,-0.57422528,0.47104019,-0.99999893,-0.99997966,-0.8,-1.0,-0.99848118,-0.99998225,0.1888122
0.82187193,0.94489486,-0.2777543,-0.0073619503,0.94674897,-0.31953731,-0.047335567,-0.85222007,-0.44147083,-0.96696057,0.95737213,0.96422055,-0.85984111,0.82506425,-0.99177193,-0.52053044,-0.99988407,-0.99992052,-0.86666667,-1.0,-0.83625317,-0.98568034,0.28315855
0.32959319,0.95201342,-0.2777543,-0.0073619503,0.96863457,-0.24813963,-0.014843606,-0.88412852,-0.67509047,-0.97278759,0.95243163,0.97140009,-0.8747857,0.84535354,-0.99166,0.028785268,-0.99998522,-0.99996643,-1.0,-1.0,-0.98608288,-0.99979625,0.26311858
0.28049739,0.95272437,-0.28062914,-0.0084768639,0.97277627,-0.23590783,-0.010778031,-0.88229013,-0.322605,-0.77872672,0.6476996,0.66103583,-0.8748622,0.84535354,-0.94804831,0.071744981,-0.99998484,-0.99997244,-1.0,-0.93103448,-0.99011174,-0.99986681,0.26432447
0.15336261,0.95306401,-0.28303343,-0.016709792,0.97297016,-0.23590783,-0.010778031,-0.88264601,-0.33499689,-0.41931813,0.30086211,0.29561713,-0.8748622,0.84304451,-0.8987999,0.088873196,-0.9999941,-0.99996813,-1.0,-1.0,-0.99230619,-0.9998989,0.26403279
0.19087473,0.95360569,-0.28300845,-0.01925744,0.97325777,-0.23427394,-0.010586199,-0.88422429,-0.51949425,-0.2996823,0.19806161,0.22565888,-0.87883655,0.84277019,-0.50115438,0.23503767,-0.9999875,-0.99997625,-1.0,-1.0,-0.99731449,-0.99997018,0.26288599
0.1109392,0.95359464,-0.28300845,-0.01925744,0.97336429,-0.23399273,-0.010399701,-0.88381482,-0.52273333,-0.17925064,0.19508609,0.259883,-0.88458597,0.84277019,-0.42432631,0.2588646,-0.9999928,-0.99998185,-0.8,-1.0,-0.99727464,-0.99998686,0.26316935
0.067142244,0.95313551,-0.28187025,-0.020073203,0.97318829,-0.23399273,-0.010411871,-0.88386424,-0.40744318,0.04599621,0.15722109,0.2241376,-0.88693926,0.84512415,-0.020311386,0.37918152,-0.99999541,-0.99997999,-0.8,-0.17241379,-0.99819256,-0.9999773,0.26318349
0.11619943,0.95318325,-0.28149769,-0.019785586,0.97318829,-0.23351308,-0.010411871,-0.88531821,-0.33736856,0.22729581,0.073367805,0.17438906,-0.88645059,0.84421838,-0.28695692,0.49183407,-0.9999918,-0.99997544,-1.0,-0.44827586,-0.99781715,-0.99997137,0.26217028
-0.097758652,0.95309294,-0.28149769,-0.019785586,0.97269154,-0.23493193,-0.010142149,-0.88478599,-0.39699222,0.35401547,0.22555884,0.29409522,-0.88489044,0.84421838,-0.66813743,0.56248951,-0.9999904,-0.99997075,-0.53333333,-1.0,-0.998191,-0.99996866,0.26255006
-0.041202468,0.95273161,-0.28236083,-0.019791384,0.97263986,-0.23580584,-0.011413149,-0.88237099,-0.38150015,0.29658698,0.34254024,0.39162361,-0.88485843,0.84640091,-0.59754001,0.51452452,-0.99999201,-0.99998435,-0.86666667,-1.0,-0.9975563,-0.99995831,0.26425623
-0.22370213,0.9532188,-0.2815548,-0.019939193,0.97263986,-0.23580584,-0.011413149,-0.88233553,-0.2514525,0.12140007,0.41335749,0.46151667,-0.88396171,0.84387111,-0.61982247,0.3684556,-0.99999645,-0.99997929,-0.93333333,-1.0,-0.99537148,-0.99993562,0.26422361
